"StichtagDatJahr","AlterVSort","AlterVCd","AlterV05Sort","AlterV05Cd","AlterV05Kurz","AlterV10Cd","AlterV10Kurz","AlterV20Cd","AlterV20Kurz","SexCd","SexLang","SexKurz","KreisCd","KreisLang","QuarSort","QuarCd","QuarLang","HerkunftSort","HerkunftCd","HerkunftLang","AnzBestWir"
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","2","Kreis 2",23,"023","Leimbach",2,"2","Ausländer*in",2
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","2","Kreis 2",24,"024","Enge",1,"1","Schweizer*in",38
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","2","Kreis 2",24,"024","Enge",1,"1","Schweizer*in",35
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","2","Kreis 2",24,"024","Enge",2,"2","Ausländer*in",7
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","2","Kreis 2",24,"024","Enge",2,"2","Ausländer*in",13
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","3","Kreis 3",31,"031","Alt-Wiedikon",1,"1","Schweizer*in",32
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","3","Kreis 3",31,"031","Alt-Wiedikon",1,"1","Schweizer*in",38
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","3","Kreis 3",31,"031","Alt-Wiedikon",2,"2","Ausländer*in",43
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","3","Kreis 3",31,"031","Alt-Wiedikon",2,"2","Ausländer*in",37
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","3","Kreis 3",33,"033","Friesenberg",1,"1","Schweizer*in",28
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","3","Kreis 3",33,"033","Friesenberg",1,"1","Schweizer*in",27
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","3","Kreis 3",33,"033","Friesenberg",2,"2","Ausländer*in",12
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","3","Kreis 3",33,"033","Friesenberg",2,"2","Ausländer*in",16
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","3","Kreis 3",34,"034","Sihlfeld",1,"1","Schweizer*in",58
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","3","Kreis 3",34,"034","Sihlfeld",1,"1","Schweizer*in",57
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","3","Kreis 3",34,"034","Sihlfeld",2,"2","Ausländer*in",60
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","3","Kreis 3",34,"034","Sihlfeld",2,"2","Ausländer*in",58
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","4","Kreis 4",41,"041","Werd",1,"1","Schweizer*in",10
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","4","Kreis 4",41,"041","Werd",1,"1","Schweizer*in",4
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","4","Kreis 4",41,"041","Werd",2,"2","Ausländer*in",11
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","4","Kreis 4",41,"041","Werd",2,"2","Ausländer*in",11
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","4","Kreis 4",42,"042","Langstrasse",1,"1","Schweizer*in",17
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","4","Kreis 4",42,"042","Langstrasse",1,"1","Schweizer*in",22
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","4","Kreis 4",42,"042","Langstrasse",2,"2","Ausländer*in",34
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","4","Kreis 4",42,"042","Langstrasse",2,"2","Ausländer*in",31
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","4","Kreis 4",44,"044","Hard",1,"1","Schweizer*in",30
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","4","Kreis 4",44,"044","Hard",1,"1","Schweizer*in",20
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","4","Kreis 4",44,"044","Hard",2,"2","Ausländer*in",55
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","4","Kreis 4",44,"044","Hard",2,"2","Ausländer*in",41
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","5","Kreis 5",51,"051","Gewerbeschule",1,"1","Schweizer*in",9
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","5","Kreis 5",51,"051","Gewerbeschule",1,"1","Schweizer*in",21
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","5","Kreis 5",51,"051","Gewerbeschule",2,"2","Ausländer*in",28
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","5","Kreis 5",51,"051","Gewerbeschule",2,"2","Ausländer*in",34
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","5","Kreis 5",52,"052","Escher Wyss",1,"1","Schweizer*in",1
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","5","Kreis 5",52,"052","Escher Wyss",1,"1","Schweizer*in",4
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","5","Kreis 5",52,"052","Escher Wyss",2,"2","Ausländer*in",4
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","5","Kreis 5",52,"052","Escher Wyss",2,"2","Ausländer*in",5
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","6","Kreis 6",61,"061","Unterstrass",1,"1","Schweizer*in",70
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","6","Kreis 6",61,"061","Unterstrass",1,"1","Schweizer*in",79
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","6","Kreis 6",61,"061","Unterstrass",2,"2","Ausländer*in",21
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","6","Kreis 6",61,"061","Unterstrass",2,"2","Ausländer*in",23
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","6","Kreis 6",63,"063","Oberstrass",1,"1","Schweizer*in",31
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","6","Kreis 6",63,"063","Oberstrass",1,"1","Schweizer*in",32
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","6","Kreis 6",63,"063","Oberstrass",2,"2","Ausländer*in",12
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","6","Kreis 6",63,"063","Oberstrass",2,"2","Ausländer*in",12
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","7","Kreis 7",71,"071","Fluntern",1,"1","Schweizer*in",22
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","7","Kreis 7",71,"071","Fluntern",1,"1","Schweizer*in",23
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","7","Kreis 7",71,"071","Fluntern",2,"2","Ausländer*in",12
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","7","Kreis 7",71,"071","Fluntern",2,"2","Ausländer*in",3
